,District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate
438,439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1289631,1019499,70.47,75.88,64.65
351,352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,42,48.75,34.92
534,535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,53.97,62.6,45.27
637,638,ANDAMAN & NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,68.76,74.28,61.65
210,211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,40.81,47.39,33.67
475,476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1514075,1210981,71.63,76.68,66.17
498,499,MAHARASHTRA,Jalgaon,4229917,,2032552,2891882,1629223,1262659,68.37,74.14,62.12
413,414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,382335,268528,46.06,54.74,37.57
517,518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,80.96,83.93,77.5
337,338,WEST BENGAL,Hugli,5519145,2814653,2704492,4078388,2211777,1866611,73.9,78.58,69.02
316,317,ASSAM,Karimganj,1228686,625864,,795297,435942,359355,64.73,69.65,59.61
199,200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,52.92,61.97,43.06
88,89,HARYANA,Palwal,1042708,,488211,599796,379696,220100,57.52,,45.08
523,524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,67.26,73.24,60.81
453,454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,348033,256929,57.35,66.26,48.51
521,522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,69.38,75.69,62.65
561,562,KARNATAKA,Dharwad,1847023,,909817,1301664,711776,589888,70.47,75.95,
65,66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,72.96,78.15,67.41
488,489,GUJARAT,The Dangs,228291,113821,114470,140968,77314,63654,61.75,67.93,55.61
239,240,BIHAR,Arwal,700843,363497,337346,386351,235279,151072,55.13,64.73,44.78
258,259,ARUNACHAL PRADESH,Lohit,145726,76221,,83062,48380,34682,57,63.47,49.9
148,149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,42.03,50.13,32.73
551,552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,52.48,61.12,43.73
490,491,GUJARAT,Valsad,1705678,887222,818456,1170657,655528,515129,68.63,73.89,62.94
73,74,HARYANA,Karnal,1505324,,707612,978013,564516,413497,64.97,70.77,58.44
563,564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650,67.94,73.71,61.87
306,307,UTTAR PRADESH,Lakhimpur,1042137,529674,512463,683486,375552,307934,65.59,70.9,60.09
33,34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,72.16,,63.38
129,130,RAJASTHAN,Udaipur,3068420,1566801,,1582629,973444,609185,51.58,62.13,40.57
477,478,GUJARAT,Porbandar,585449,,285240,393678,221621,172057,67.24,73.82,60.32
28,29,HIMACHAL PRADESH,Una,521173,263692,,399715,213281,186434,76.7,80.88,
331,332,WEST BENGAL,Maldah,3988845,2051541,1937304,2086432,1152019,934413,52.31,56.15,48.23
106,107,RAJASTHAN,Karauli,1458248,,674609,805849,531904,273945,55.26,,40.61
45,46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,60.85,65.7,55.26
562,563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,75.28,80.15,70.3
167,168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,59.16,68.76,48
499,500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,72.69,78.42,66.55
553,554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,63.92,71.04,56.77
442,443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,512344,350574,59.15,66.58,50.86
114,115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,45.64,57.23,32.79
350,351,JHARKHAND,Godda,1313551,677927,,604519,376212,228307,46.02,55.49,35.92
226,227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,50.68,57.98,42.58
102,103,RAJASTHAN,Jhunjhunun,2137045,,1041149,1370360,815834,554526,64.12,74.44,53.26
59,60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,74.23,78.71,69.27
284,285,MIZORAM,Serchhip,64937,32851,,54476,27598,26878,83.89,84.01,83.77
145,146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,60.66,68.27,51.9
222,223,BIHAR,Khagaria,1666886,,783100,768028,461153,306875,46.08,52.18,39.19
333,334,WEST BENGAL,Birbhum,3502404,1790920,1711484,2158447,1201481,956966,61.63,67.09,55.91
97,98,DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,76.08,80.76,70.65
399,400,CHHATTISGARH,Koriya,658917,334737,,397823,229923,167900,60.38,68.69,51.79
493,494,DAMAN & DIU,Diu,52074,25642,26432,38058,20327,17731,73.08,79.27,67.08
320,321,ASSAM,Kamrup,1517542,778461,739081,995319,550219,445100,65.59,70.68,60.22
449,450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,460583,330190,61.2,69.57,52.41
379,380,ODISHA,Jagatsinghapur,1136971,577865,559106,889027,481049,407978,78.19,83.25,72.97
504,505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,78.95,82.15,
84,85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,70.75,79.15,61.38
602,603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,81.27,84.26,78.25
461,462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,353030,247755,53.31,61.3,44.95
604,605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,70.47,76.69,64.29
417,418,MADHYA PRADESH,Sheopur,687861,,326077,328025,208201,119824,47.69,,36.75
346,347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,48.91,56.92,40.51
94,95,DELHI,Central,582320,307821,274499,442360,240518,201842,75.97,78.14,73.53
1,2,JAMMU & KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,44.53,52.19,35.96
533,534,ANDHRA PRADESH,Karimnagar,3776269,1880800,,2206829,1257238,949591,58.44,66.85,50.1
368,369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,520645,612993,365332,247661,57.56,67.11,47.57
64,65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,68.45,77.8,58.91
255,256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,36606,20258,16348,39.76,44.7,34.96
99,100,RAJASTHAN,Hanumangarh,1774692,,843508,1034136,624281,409855,58.27,67.04,48.59
263,264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,77.07,79.74,74.32
248,249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,45278,24807,20471,54.26,59.41,49.1
391,392,ODISHA,Subarnapur,610183,311312,298871,398421,230393,168028,65.3,74.01,56.22
557,558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475,61.21,68.59,53.5
359,360,JHARKHAND,Hazaribagh,1734495,890881,,1013249,596113,417136,58.42,66.91,
569,570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088,71.91,77.35,66.53
628,629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,82.8,84.26,81.37
207,208,BIHAR,Supaul,2229076,,1073793,1033283,647672,385611,46.35,56.06,35.91
233,234,BIHAR,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,60.81,68.79,52.11
22,23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,62.39,71.2,53.45
301,302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,55.9,59.28,52.39
527,528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,74.26,81.33,67.96
143,144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,60.24,69.27,49.88
457,458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,400537,253443,52.68,61.68,
342,343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,67.77,72.91,62.39
600,601,KERALA,Thiruvananthapuram,3301427,1581678,,2785408,1354857,1430551,84.37,85.66,83.18
514,515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,67.65,74.35,60.38
463,464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,214582,137499,34.35,41.66,26.96
344,345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,76.99,81.72,71.94
336,337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4890392,7608693,4056046,3552647,76.01,79.23,72.65
182,183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,48.92,57.87,39.22
266,267,NAGALAND,Tuensang,196596,,94663,117511,63653,53858,59.77,62.45,56.89
128,129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,52.43,64.38,39.79
464,465,MADHYA PRADESH,Alirajpur,728999,362542,,209754,120905,88849,28.77,33.35,24.25
446,447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,529783,409986,59.65,66.29,52.82
46,47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,55.03,59.71,49.73
619,620,TAMIL NADU,Thanjavur,2405890,,1223474,1790998,944264,846734,74.44,79.86,69.21
271,272,MANIPUR,Senapati,479148,247323,231825,264477,148012,116465,55.2,59.85,50.24
397,398,ODISHA,Koraput,1379647,678809,,568090,340843,227247,41.18,50.21,32.43
80,81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,65.46,74.21,55.58
362,363,JHARKHAND,Jamtara,791042,404830,386212,426312,258260,168052,53.89,63.79,43.51
157,158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,57.72,66.53,48.39
215,216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,52.26,58.84,44.96
138,139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,61.24,69.97,51.1
168,169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,55.72,64.82,45.37
155,156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,57.06,64.6,48.74
348,349,JHARKHAND,Giridih,2445474,,1187376,1253475,783736,469739,51.26,62.3,39.56
555,556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024,58.92,67.51,50.23
20,21,JAMMU & KASHMIR,Jammu,1529958,813821,,1137135,641916,495219,74.32,78.88,69.15
353,354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,64.15,72.19,55.32
330,331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,819077,1083685,596474,487211,64.65,69.58,59.48
400,401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,694686,493255,50.34,58.22,42.28
502,503,MAHARASHTRA,Amravati,2888445,,1407677,2251875,1207104,1044771,77.96,81.52,74.22
324,325,ASSAM,Darrang,928500,475273,453227,487039,268666,218373,52.45,56.53,48.18
142,143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,56.96,65.75,46.99
476,477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,795140,601394,64.65,71.36,57.5
586,587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,28023,24530,81.51,84.6,78.25
465,466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,,731615,432259,299356,55.85,64.1,
474,475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,643221,450405,62.27,70.69,53.22
414,415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,33449,23172,40.5,47.71,
565,566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,65.53,72.21,58.66
609,610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362,66.29,73.31,59.22
415,416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,116529,74708,35.84,44.12,27.72
292,293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,55.76,59.67,51.79
4,5,JAMMU & KASHMIR,Punch,476835,,224936,261724,163333,98391,54.89,,43.74
262,263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,73.09,75.13,71.01
240,241,SIKKIM,North  District,43709,24730,,30450,18579,11871,69.67,75.13,62.55
72,73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,60.18,67.56,51.81
132,133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,58.34,66.04,49.68
3,4,JAMMU & KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,61.25,72.38,47.5
637,638,ANDAMAN & NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,68.76,74.28,61.65
301,302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,55.9,59.28,52.39
565,566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,65.53,72.21,58.66
565,566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,65.53,72.21,58.66
168,169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,55.72,64.82,45.37
263,264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,77.07,79.74,74.32
